location,current_speed,free_flow_speed,incident_count,temperature,wind_speed,weather_condition,congestion_level
San Francisco,13.0,13.0,0,15.77,8.94,cloudy,Low
New York,9.0,28.0,0,28.23,9.26,partly cloudy,High
New Delhi,24.0,24.0,1,28.07,0.0,fog,Low
London,10.0,13.0,0,12.26,4.63,partly cloudy,Medium
Melbourne,13.0,19.0,0,12.87,2.24,cloudy,Medium
Dubai,80.0,80.0,0,33.01,2.06,clear,Low
Mumbai,18.0,18.0,0,29.0,2.57,fog,Low
San Francisco,13.0,13.0,0,9.71,4.63,clear,Low
New York,28.0,28.0,0,16.57,3.09,clear,Low
New Delhi,24.0,24.0,1,35.07,3.09,fog,Low
London,13.0,13.0,0,12.76,4.12,cloudy,Low
Melbourne,14.0,20.0,0,15.76,4.63,clear,Medium
Dubai,80.0,80.0,0,42.01,7.2,clear,Low
Mumbai,11.0,18.0,0,32.0,5.14,711,Medium
Los Angeles,28.0,28.0,0,13.33,4.12,mist,Low
Paris,10.0,16.0,0,14.02,6.69,cloudy,Medium
Berlin,12.0,20.0,0,12.55,6.69,cloudy,Medium
Singapore,49.0,49.0,0,30.69,3.6,cloudy,Low
Bangkok,27.0,27.0,0,32.1,5.41,cloudy,Low
San Francisco,13.0,13.0,0,9.6,4.63,clear,Low
New York,28.0,28.0,0,17.15,3.6,mist,Low
New Delhi,24.0,24.0,1,35.07,4.12,fog,Low
London,13.0,16.0,0,12.52,4.63,cloudy,Low
Melbourne,13.0,19.0,0,15.92,6.69,clear,Medium
Dubai,80.0,80.0,0,41.01,6.69,clear,Low
Mumbai,18.0,18.0,0,31.0,5.14,fog,Low
Los Angeles,28.0,28.0,0,13.33,4.63,cloudy,Low
Paris,16.0,16.0,0,14.41,7.2,partly cloudy,Low
Berlin,13.0,20.0,0,12.1,7.15,cloudy,Medium
Singapore,49.0,49.0,0,30.13,3.09,cloudy,Low
Bangkok,27.0,27.0,0,31.69,5.41,cloudy,Low
San Francisco,13.0,13.0,0,9.6,4.63,clear,Low
New York,28.0,28.0,0,17.17,3.6,mist,Low
New Delhi,22.0,24.0,1,35.07,4.12,fog,Low
London,14.0,16.0,0,12.73,4.63,cloudy,Low
Melbourne,20.0,20.0,0,15.42,6.69,clear,Low
Dubai,80.0,80.0,0,41.01,6.69,clear,Low
Mumbai,18.0,18.0,0,31.0,5.14,fog,Low
Los Angeles,28.0,28.0,0,13.33,4.63,cloudy,Low
Paris,13.0,16.0,0,14.47,7.2,partly cloudy,Low
Berlin,21.0,21.0,0,12.44,6.71,cloudy,Low
Singapore,49.0,49.0,0,30.13,3.09,cloudy,Low
Bangkok,27.0,27.0,0,31.69,5.41,cloudy,Low
San Francisco,13.0,13.0,0,9.51,6.26,clear,Low
New York,20.0,28.0,0,17.43,3.6,mist,Medium
New Delhi,24.0,25.0,1,34.07,4.12,fog,Low
London,13.0,13.0,0,12.87,6.69,cloudy,Low
Melbourne,15.0,19.0,0,15.1,7.2,clear,Medium
Dubai,80.0,80.0,0,40.01,6.69,clear,Low
Mumbai,18.0,18.0,0,31.0,4.63,fog,Low
Los Angeles,28.0,28.0,0,13.17,4.63,cloudy,Low
Paris,16.0,16.0,0,15.25,6.69,partly cloudy,Low
Berlin,16.0,20.0,0,13.05,8.49,cloudy,Medium
Singapore,49.0,49.0,0,29.96,2.57,cloudy,Low
Bangkok,27.0,27.0,0,31.93,5.45,cloudy,Low
San Francisco,13.0,13.0,0,9.45,6.71,clear,Low
New York,20.0,28.0,0,17.64,2.06,cloudy,Medium
New Delhi,24.0,25.0,1,34.07,4.12,fog,Low
London,9.0,13.0,0,12.77,6.69,cloudy,Medium
Melbourne,15.0,19.0,0,15.13,7.2,clear,Medium
Dubai,80.0,80.0,0,38.01,7.72,clear,Low
Mumbai,12.0,17.0,0,31.0,4.63,fog,Medium
Los Angeles,28.0,28.0,0,13.17,4.63,cloudy,Low
Paris,11.0,16.0,0,15.25,6.69,partly cloudy,Medium
Berlin,14.0,21.0,0,12.93,6.71,cloudy,Medium
Singapore,49.0,49.0,0,29.96,2.57,cloudy,Low
Bangkok,21.0,27.0,0,31.03,5.45,cloudy,Medium
San Francisco,13.0,13.0,0,9.29,6.71,clear,Low
New York,28.0,28.0,0,17.82,3.6,cloudy,Low
New Delhi,24.0,24.0,1,34.07,4.12,fog,Low
London,10.0,12.0,0,13.25,4.63,cloudy,Low
Melbourne,20.0,20.0,0,15.49,7.2,clear,Low
Dubai,80.0,80.0,0,38.01,7.72,clear,Low
Singapore,49.0,49.0,0,29.52,2.85,cloudy,Low
Bangkok,27.0,27.0,0,28.92,5.45,cloudy,Low
San Francisco,13.0,13.0,0,9.23,1.88,clear,Low
New York,22.0,27.0,0,17.51,3.78,cloudy,Low
New Delhi,22.0,24.0,1,38.18,0.52,cloudy,Low
London,10.0,13.0,0,13.08,5.17,partly cloudy,Medium
Melbourne,20.0,20.0,0,14.85,4.79,cloudy,Low
Dubai,80.0,80.0,0,38.73,4.22,cloudy,Low
Mumbai,14.0,17.0,0,29.79,5.29,clear,Low
Los Angeles,28.0,28.0,0,12.96,1.99,cloudy,Low
Paris,11.0,15.0,0,14.64,4.7,cloudy,Medium
Berlin,12.0,21.0,0,12.8,7.02,cloudy,Medium
Singapore,49.0,49.0,0,29.52,2.85,cloudy,Low
Bangkok,27.0,27.0,0,28.92,5.45,cloudy,Low
San Francisco,13.0,13.0,0,9.01,1.56,clear,Low
New York,17.0,28.0,0,18.49,3.25,cloudy,Medium
New Delhi,23.0,24.0,1,37.75,1.62,clear,Low
London,13.0,13.0,0,13.08,5.17,partly cloudy,Low
Melbourne,15.0,20.0,0,14.83,4.79,cloudy,Medium
Dubai,80.0,80.0,0,38.73,4.22,cloudy,Low
Mumbai,18.0,18.0,0,29.79,5.29,clear,Low
Los Angeles,28.0,28.0,0,12.96,1.99,cloudy,Low
Paris,11.0,16.0,0,14.87,4.98,partly cloudy,Medium
Berlin,13.0,21.0,0,12.8,7.02,cloudy,Medium
Singapore,49.0,49.0,0,28.86,2.53,cloudy,Low
Bangkok,19.0,26.0,0,28.56,4.87,partly cloudy,Medium
San Francisco,13.0,13.0,0,9.01,1.56,clear,Low
New York,28.0,28.0,0,18.49,3.25,cloudy,Low
New Delhi,23.0,24.0,1,37.75,1.62,clear,Low
London,13.0,13.0,0,13.15,5.17,partly cloudy,Low
Melbourne,16.0,20.0,0,14.83,4.79,cloudy,Medium
Dubai,80.0,80.0,0,38.73,4.22,cloudy,Low
Mumbai,18.0,18.0,0,29.79,5.29,clear,Low
Los Angeles,28.0,28.0,0,12.96,1.99,cloudy,Low
Paris,11.0,15.0,0,14.87,4.98,partly cloudy,Medium
Berlin,12.0,21.0,0,12.8,7.02,cloudy,Medium
Singapore,49.0,49.0,0,28.86,2.53,cloudy,Low
Bangkok,27.0,27.0,0,28.56,4.87,partly cloudy,Low
San Francisco,13.0,13.0,0,9.01,1.56,clear,Low
New York,28.0,28.0,0,18.49,3.25,cloudy,Low
New Delhi,23.0,24.0,1,37.75,1.62,clear,Low
London,13.0,13.0,0,13.08,5.33,cloudy,Low
Melbourne,20.0,20.0,0,14.83,4.79,cloudy,Low
Dubai,80.0,80.0,0,37.48,3.38,partly cloudy,Low
Mumbai,18.0,18.0,0,29.7,5.02,clear,Low
Los Angeles,28.0,28.0,0,13.05,1.22,cloudy,Low
Paris,11.0,15.0,0,14.93,4.98,partly cloudy,Medium
Berlin,11.0,21.0,0,13.05,6.0,cloudy,Medium
Singapore,49.0,49.0,0,28.86,2.53,cloudy,Low
Bangkok,27.0,27.0,0,28.56,4.87,partly cloudy,Low
San Francisco,13.0,13.0,0,9.28,7.6,clear,Low
New York,28.0,28.0,0,18.28,3.6,cloudy,Low
New Delhi,22.0,24.0,1,33.07,4.63,fog,Low
London,9.0,12.0,0,13.03,6.17,cloudy,Medium
Melbourne,12.0,19.0,0,15.58,4.63,clear,Medium
Dubai,80.0,80.0,0,37.01,6.69,clear,Low
Mumbai,18.0,18.0,0,30.0,4.12,fog,Low
Los Angeles,28.0,28.0,0,13.04,4.63,cloudy,Low
Paris,11.0,15.0,0,15.35,7.2,clear,Medium
Berlin,17.0,21.0,0,13.03,6.69,partly cloudy,Low
Singapore,49.0,49.0,0,29.09,1.54,cloudy,Low
Bangkok,22.0,27.0,0,30.57,4.87,partly cloudy,Low
New York,19.0,27.0,0,18.43,3.6,cloudy,Medium
Los Angeles,20.0,27.0,0,13.03,4.63,cloudy,Medium
Chicago,18.0,18.0,0,7.3,4.63,cloudy,Low
Houston,18.0,18.0,0,16.51,2.57,clear,Low
Phoenix,18.0,18.0,0,20.74,1.34,cloudy,Low
Philadelphia,0.0,0.0,1,20.07,3.09,cloudy,High
San Antonio,22.0,22.0,0,15.39,2.57,clear,Low
San Diego,15.0,15.0,0,12.19,3.6,mist,Low
Dallas,99.0,99.0,0,13.11,1.71,clear,Low
San Jose,27.0,27.0,0,7.39,0.45,cloudy,Low
Austin,15.0,15.0,0,15.21,3.13,clear,Low
Jacksonville,36.0,58.0,0,20.32,3.09,cloudy,Medium
Fort Worth,12.0,12.0,0,13.17,0.0,clear,Low
Columbus,33.0,33.0,0,10.57,1.54,cloudy,Low
Charlotte,14.0,14.0,0,14.24,2.57,cloudy,Low
San Francisco,13.0,13.0,0,9.32,6.71,clear,Low
Indianapolis,19.0,19.0,0,8.45,7.2,cloudy,Low
Seattle,10.0,14.0,0,5.8,0.45,clear,Medium
Denver,37.0,38.0,1,10.9,0.45,clear,Low
Washington,23.0,23.0,0,18.15,3.09,rain,Low
Boston,17.0,21.0,0,18.91,4.63,cloudy,Low
El Paso,41.0,41.0,0,17.3,4.47,partly cloudy,Low
Nashville,9.0,9.0,0,10.6,3.09,mist,Low
Detroit,17.0,17.0,0,8.6,9.77,cloudy,Low
Oklahoma City,26.0,26.0,0,11.82,3.6,partly cloudy,Low
Portland,83.0,83.0,0,3.9,0.89,clear,Low
Las Vegas,23.0,23.0,0,16.74,4.63,rain,Low
Memphis,20.0,20.0,0,12.89,2.57,partly cloudy,Low
Louisville,18.0,18.0,0,9.98,3.09,rain,Low
Baltimore,16.0,16.0,0,19.1,4.12,rain,Low
Milwaukee,23.0,23.0,0,7.81,5.66,cloudy,Low
Albuquerque,13.0,16.0,0,12.05,1.54,partly cloudy,Low
Tucson,41.0,41.0,0,18.0,5.66,clear,Low
Fresno,31.0,31.0,0,10.97,4.12,cloudy,Low
Sacramento,32.0,32.0,0,10.89,1.54,clear,Low
Kansas City,20.0,20.0,0,9.21,1.54,clear,Low
Atlanta,13.0,27.0,0,12.61,2.57,cloudy,High
Miami,2.0,5.0,0,26.48,2.57,cloudy,High
Orlando,14.0,14.0,0,22.66,3.6,clear,Low
Tampa,20.0,20.0,0,23.13,5.14,partly cloudy,Low
Minneapolis,14.0,14.0,0,12.09,2.57,clear,Low
St. Louis,46.0,46.0,0,9.43,4.12,cloudy,Low
Cleveland,20.0,20.0,0,9.87,8.23,rain,Low
Cincinnati,23.0,33.0,0,9.5,4.63,mist,Medium
Pittsburgh,10.0,15.0,1,15.9,1.34,clear,Medium
Paris,11.0,15.0,0,15.38,7.2,clear,Medium
London,8.0,13.0,0,13.08,6.17,cloudy,Medium
Berlin,15.0,21.0,0,13.02,6.69,partly cloudy,Medium
Amsterdam,21.0,30.0,0,12.41,5.66,partly cloudy,Medium
Madrid,11.0,11.0,0,15.23,6.69,cloudy,Low
Rome,20.0,29.0,0,20.94,5.14,clear,Medium
Barcelona,21.0,29.0,0,20.9,6.69,partly cloudy,Medium
Lisbon,24.0,24.0,0,18.13,6.69,partly cloudy,Low
Warsaw,14.0,14.0,0,15.99,9.26,partly cloudy,Low
Vienna,39.0,39.0,0,16.06,5.36,partly cloudy,Low
Prague,32.0,41.0,0,13.96,5.66,clear,Medium
Brussels,16.0,16.0,0,13.55,3.09,partly cloudy,Low
Dublin,15.0,27.0,0,11.38,6.17,cloudy,Medium
Oslo,0.0,0.0,1,12.07,2.68,partly cloudy,High
Stockholm,26.0,26.0,0,6.29,7.2,cloudy,Low
Copenhagen,26.0,34.0,0,11.03,6.69,partly cloudy,Medium
Helsinki,16.0,23.0,0,7.58,6.71,partly cloudy,Medium
Bucharest,21.0,21.0,0,28.2,4.12,clear,Low
Budapest,23.0,34.0,0,20.1,0.89,cloudy,Medium
Athens,18.0,30.0,0,25.32,5.14,partly cloudy,Medium
Istanbul,44.0,52.0,0,17.84,2.57,clear,Low
Dubai,80.0,80.0,0,37.01,6.69,clear,Low
Doha,27.0,40.0,0,39.94,3.09,clear,Medium
Tel Aviv,18.0,24.0,0,23.15,6.69,partly cloudy,Medium
Riyadh,68.0,72.0,0,40.92,5.16,clear,Low
Jeddah,81.0,81.0,0,32.95,10.35,clear,Low
